CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
32629,31,115,1-31-2023-115-06,6,1,1,1,1,3,4,247.8107959,6,8
32638,32,194,1-32-2023-194-01,1,1,1,1,1,2,3,96.90649359,7,8
32643,28,113,1-28-2023-113-06,6,1,1,1,1,2,3,86.94470305,3,8
32651,27,132,1-27-2023-132-03,3,1,1,1,1,2,3,16.37214353,3,8
32682,77,129,1-77-2023-129-01,1,1,3,3,2,1,2,76.16658931,9,8
32684,77,131,1-77-2023-131-08,8,1,1,1,1,2,3,594.9955075,9,8
32686,73,174,1-73-2023-174-03,3,2,1,1,1,2,3,31.6102783,3,8
32696,18,115,1-18-2023-115-01,1,1,1,1,1,2,3,44.11670831,6,8
32710,21,123,1-21-2023-123-08,8,1,1,99,1,1,9,334.3762824,11,8
32731,11,100,1-11-2023-100-03,3,1,1,1,1,2,3,524.4207195,8,8
32763,22,105,1-22-2023-105-09,9,1,13,10,2,9,9,448.6676455,12,8
32782,11,104,1-11-2023-104-02,2,1,1,1,1,1,3,83.61933847,8,8
32790,24,123,1-24-2023-123-03,3,1,1,1,1,1,3,253.7681586,1,8
32791,28,120,1-28-2023-120-09,9,1,1,1,1,1,3,47.6282045,3,8
32797,25,122,1-25-2023-122-04,4,2,2,2,2,1,2,426.6253035,2,8
32812,77,134,1-77-2023-134-03,3,2,1,1,1,2,3,363.7792974,9,8
32836,48,126,1-48-2023-126-04,4,1,1,98,9,2,3,503.7377082,12,8
32837,66,108,1-66-2023-108-03,3,1,1,1,1,1,3,144.5903695,6,8
32838,33,91,1-33-2023-091-02,2,1,1,1,1,3,3,24.42240604,12,8
32852,30,168,1-30-2023-168-02,2,1,1,1,1,1,3,79.58238805,10,8
2300013,16,145,1-16-2023-145-06,6,1,1,1,1,1,3,339.9551417,5,8
28139,19,1,1-19-2023-001-02,2,2,1,1,1,1,3,103.5094853,9,8
28143,17,1,1-17-2023-001-03,3,1,1,1,1,1,3,276.2995111,4,8
28172,10,1,1-10-2023-001-02,2,1,1,1,1,2,3,231.7332471,4,8
28175,13,1,1-13-2023-001-04,4,1,1,1,1,1,3,2338.696424,7,8
28216,77,2,1-77-2023-002-02,2,1,1,1,1,1,4,192.2082896,9,8
28218,54,4,1-54-2023-004-08,8,2,1,1,1,2,3,156.9645701,9,8
30752,19,100,1-19-2023-100-06,6,1,1,1,1,1,3,198.8265021,9,8
30754,19,102,1-19-2023-102-08,8,1,1,1,1,2,3,61.10042283,9,8
30763,16,75,1-16-2023-075-01,1,1,1,1,1,2,3,30.95251088,5,8
30764,16,76,1-16-2023-076-03,3,1,1,1,1,1,3,213.6063302,5,8
30770,13,95,1-13-2023-095-02,2,1,1,1,1,5,9,46.46165665,7,8
30770,13,95,1-13-2023-095-02,2,1,2,99,9,6,9,46.46165665,7,8
30770,13,95,1-13-2023-095-02,2,1,3,99,9,6,9,46.46165665,7,8
30770,13,95,1-13-2023-095-02,2,1,4,99,9,6,9,46.46165665,7,8
30770,13,95,1-13-2023-095-02,2,1,7,99,9,6,9,46.46165665,7,8
30770,13,95,1-13-2023-095-02,2,1,10,99,9,6,9,46.46165665,7,8
30770,13,95,1-13-2023-095-02,2,1,13,99,9,6,9,46.46165665,7,8
30791,31,61,1-31-2023-061-07,7,1,1,1,1,2,3,695.586204,6,8
30797,66,53,1-66-2023-053-06,6,1,1,1,1,1,2,249.9290251,6,8
30800,22,55,1-22-2023-055-03,3,1,1,1,1,2,3,184.1862927,12,8
30803,21,68,1-21-2023-068-05,5,1,1,1,1,2,3,49.82565081,11,8
30817,25,75,1-25-2023-075-03,3,1,1,1,1,1,3,401.8749235,2,8
30826,77,68,1-77-2023-068-08,8,2,1,1,1,2,3,164.2262984,9,8
30829,48,65,1-48-2023-065-08,8,1,1,1,1,5,9,136.5443497,12,8
30829,48,65,1-48-2023-065-08,8,1,2,2,2,6,1,136.5443497,12,8
30829,48,65,1-48-2023-065-08,8,1,3,2,2,6,1,136.5443497,12,8
30829,48,65,1-48-2023-065-08,8,1,7,2,2,6,1,136.5443497,12,8
30829,48,65,1-48-2023-065-08,8,1,8,2,1,6,1,136.5443497,12,8
30829,48,65,1-48-2023-065-08,8,1,10,2,1,6,1,136.5443497,12,8
30829,48,65,1-48-2023-065-08,8,1,13,2,9,6,9,136.5443497,12,8
30847,77,69,1-77-2023-069-08,8,1,2,2,2,1,8,164.2262984,9,8
30849,19,104,1-19-2023-104-01,1,1,1,1,1,3,1,54.03677053,9,8
30849,19,104,1-19-2023-104-01,1,1,2,2,2,6,1,54.03677053,9,8
28230,52,2,1-52-2023-002-06,6,1,1,1,1,2,3,89.90321077,12,8
28235,14,2,1-14-2023-002-03,3,1,1,1,1,2,2,1098.76553,8,8
28238,13,2,1-13-2023-002-05,5,1,1,1,1,2,3,176.1548815,7,8
28294,15,5,1-15-2023-005-09,9,1,1,1,1,2,3,128.174375,1,8
28301,25,4,1-25-2023-004-05,5,1,2,2,2,9,9,39.67447201,2,8
28330,11,5,1-11-2023-005-01,1,1,3,2,9,6,1,82.03441271,8,8
28330,11,5,1-11-2023-005-01,1,1,13,6,2,6,1,82.03441271,8,8
28341,66,3,1-66-2023-003-06,6,1,1,1,1,1,3,174.7567334,6,8
28373,15,10,1-15-2023-010-09,9,1,1,1,1,2,3,251.7169117,1,8
28377,20,6,1-20-2023-006-05,5,1,1,1,1,2,3,27.11193076,11,8
28379,73,5,1-73-2023-005-06,6,1,1,1,1,2,3,266.1793596,3,8
28436,22,5,1-22-2023-005-03,3,1,1,1,1,2,3,62.1550189,12,8
28436,22,5,1-22-2023-005-03,3,1,2,2,2,2,3,62.1550189,12,8
28437,73,6,1-73-2023-006-04,4,1,1,1,1,1,3,76.60231243,3,8
28443,21,4,1-21-2023-004-03,3,1,2,5,1,1,2,208.5077083,11,8
28455,14,5,1-14-2023-005-03,3,2,1,1,1,1,3,2139.523909,8,8
28466,59,14,1-59-2023-014-02,2,2,2,3,2,2,3,47.45671854,6,8
28476,20,12,1-20-2023-012-05,5,1,1,1,1,2,3,27.11193076,11,8
28607,11,14,1-11-2023-014-08,8,1,4,6,2,6,1,1067.244584,8,8
28647,11,16,1-11-2023-016-05,5,1,1,1,1,1,3,144.5082354,8,8
28663,10,24,1-10-2023-024-01,1,1,1,1,1,2,3,25.65324321,4,8
28666,16,14,1-16-2023-014-03,3,1,1,1,1,1,3,140.6008909,5,8
28670,73,15,1-73-2023-015-01,1,1,1,1,1,3,9,30.71461613,3,8
28675,32,14,1-32-2023-014-02,2,2,1,1,1,2,3,30.31094292,7,8
28681,19,21,1-19-2023-021-08,8,1,1,1,1,2,3,66.90648117,9,8
28689,59,20,1-59-2023-020-01,1,1,1,1,1,3,3,48.2239268,6,8
28722,23,20,1-23-2023-020-08,8,1,1,99,1,3,9,97.84045545,5,8
28722,23,20,1-23-2023-020-08,8,1,2,2,2,6,1,97.84045545,5,8
28722,23,20,1-23-2023-020-08,8,1,3,2,2,6,1,97.84045545,5,8
28722,23,20,1-23-2023-020-08,8,1,6,2,1,6,1,97.84045545,5,8
